date,channel,campaign,spend,impressions,clicks,leads,closed_deals
2026-06-01,Google Ads,Search - Brand,674.51,14446,734,64,10
2026-06-01,Google Ads,Search - Competitor,564.88,21316,1106,57,11
2026-06-01,Google Ads,Display - Retargeting,530.49,13137,619,15,1
2026-06-01,Meta Ads,FB - Lead Gen,401.07,10948,209,6,0
2026-06-01,Meta Ads,IG - Awareness,637.66,14096,257,5,0
2026-06-01,Meta Ads,FB - Retargeting,479.61,10396,201,6,0
2026-06-01,Email,Monthly Newsletter,21.24,3926,469,28,6
2026-06-01,Email,Promo Blast,17.37,3104,226,12,2
2026-06-01,Organic Social,LinkedIn Organic,0.0,15685,459,12,1
2026-06-01,Organic Social,FB Organic,0.0,13157,478,15,1
2026-06-01,LinkedIn Ads,Sponsored Content,486.46,13459,93,5,1
2026-06-01,LinkedIn Ads,InMail Campaign,554.77,11643,87,4,0
2026-06-02,Google Ads,Search - Brand,528.12,14257,499,19,4
2026-06-02,Google Ads,Search - Competitor,803.44,14711,794,52,7
2026-06-02,Google Ads,Display - Retargeting,654.21,21152,945,83,4
2026-06-02,Meta Ads,FB - Lead Gen,562.56,15348,259,10,0
2026-06-02,Meta Ads,IG - Awareness,441.04,16428,383,12,1
2026-06-02,Meta Ads,FB - Retargeting,408.13,18661,357,12,2
2026-06-02,Email,Monthly Newsletter,25.61,3484,359,29,4
2026-06-02,Email,Promo Blast,15.85,3148,397,35,5
2026-06-02,Organic Social,LinkedIn Organic,0.0,13317,372,8,1
2026-06-02,Organic Social,FB Organic,0.0,22544,699,22,3
2026-06-02,LinkedIn Ads,Sponsored Content,234.14,14893,120,10,1
2026-06-02,LinkedIn Ads,InMail Campaign,483.92,14861,91,6,1
2026-06-03,Google Ads,Search - Brand,718.65,11362,654,22,4
2026-06-03,Google Ads,Search - Competitor,928.57,11037,440,27,4
2026-06-03,Google Ads,Display - Retargeting,367.4,15274,541,37,4
2026-06-03,Meta Ads,FB - Lead Gen,647.49,11866,199,9,1
2026-06-03,Meta Ads,IG - Awareness,493.2,20228,247,10,1
2026-06-03,Meta Ads,FB - Retargeting,557.88,10052,133,6,1
2026-06-03,Email,Monthly Newsletter,26.57,3173,328,31,6
2026-06-03,Email,Promo Blast,20.54,3932,516,29,6
2026-06-03,Organic Social,LinkedIn Organic,0.0,18148,670,15,3
2026-06-03,Organic Social,FB Organic,0.0,18288,756,21,2
2026-06-03,LinkedIn Ads,Sponsored Content,349.93,11736,92,5,0
2026-06-03,LinkedIn Ads,InMail Campaign,543.06,15052,155,7,2
2026-06-04,Google Ads,Search - Brand,693.85,11571,409,28,4
2026-06-04,Google Ads,Search - Competitor,707.1,16892,749,33,3
2026-06-04,Google Ads,Display - Retargeting,533.02,18425,864,32,6
2026-06-04,Meta Ads,FB - Lead Gen,511.62,11464,212,8,0
2026-06-04,Meta Ads,IG - Awareness,508.41,17243,377,19,2
2026-06-04,Meta Ads,FB - Retargeting,357.25,17060,338,15,5
2026-06-04,Email,Monthly Newsletter,28.57,3567,509,54,8
2026-06-04,Email,Promo Blast,29.74,2613,298,22,4
2026-06-04,Organic Social,LinkedIn Organic,0.0,7530,256,3,0
2026-06-04,Organic Social,FB Organic,0.0,15257,359,8,1
2026-06-04,LinkedIn Ads,Sponsored Content,367.83,15865,128,5,1
2026-06-04,LinkedIn Ads,InMail Campaign,521.32,6899,57,2,0
2026-06-05,Google Ads,Search - Brand,481.12,14541,720,54,6
2026-06-05,Google Ads,Search - Competitor,549.82,13100,512,46,9
2026-06-05,Google Ads,Display - Retargeting,410.87,18671,1196,93,9
2026-06-05,Meta Ads,FB - Lead Gen,410.17,20067,310,14,3
2026-06-05,Meta Ads,IG - Awareness,358.52,14761,93,2,0
2026-06-05,Meta Ads,FB - Retargeting,321.09,21529,276,9,1
2026-06-05,Email,Monthly Newsletter,34.01,2282,337,30,3
2026-06-05,Email,Promo Blast,27.89,3099,327,30,4
2026-06-05,Organic Social,LinkedIn Organic,0.0,17648,697,13,3
2026-06-05,Organic Social,FB Organic,0.0,14392,482,15,2
2026-06-05,LinkedIn Ads,Sponsored Content,426.59,13027,91,5,0
2026-06-05,LinkedIn Ads,InMail Campaign,372.05,18598,157,9,1
2026-06-06,Google Ads,Search - Brand,475.65,12759,659,46,8
2026-06-06,Google Ads,Search - Competitor,617.6,20110,797,55,9
2026-06-06,Google Ads,Display - Retargeting,567.35,19395,1016,75,18
2026-06-06,Meta Ads,FB - Lead Gen,469.12,17727,299,13,2
2026-06-06,Meta Ads,IG - Awareness,477.98,17380,261,16,2
2026-06-06,Meta Ads,FB - Retargeting,325.01,19632,409,19,4
2026-06-06,Email,Monthly Newsletter,24.92,2551,310,22,5
2026-06-06,Email,Promo Blast,24.08,2587,290,29,4
2026-06-06,Organic Social,LinkedIn Organic,0.0,15974,502,12,1
2026-06-06,Organic Social,FB Organic,0.0,9207,198,4,0
2026-06-06,LinkedIn Ads,Sponsored Content,484.98,20901,195,9,1
2026-06-06,LinkedIn Ads,InMail Campaign,337.22,14925,112,6,0
2026-06-07,Google Ads,Search - Brand,677.9,21130,930,62,13
2026-06-07,Google Ads,Search - Competitor,539.82,15896,717,44,6
2026-06-07,Google Ads,Display - Retargeting,603.68,16991,986,76,21
2026-06-07,Meta Ads,FB - Lead Gen,377.14,18489,345,22,3
2026-06-07,Meta Ads,IG - Awareness,368.7,12602,130,4,0
2026-06-07,Meta Ads,FB - Retargeting,484.21,16367,405,20,3
2026-06-07,Email,Monthly Newsletter,19.38,3245,286,39,9
2026-06-07,Email,Promo Blast,22.07,2143,326,28,6
2026-06-07,Organic Social,LinkedIn Organic,0.0,12602,378,11,1
2026-06-07,Organic Social,FB Organic,0.0,10729,312,9,1
2026-06-07,LinkedIn Ads,Sponsored Content,530.06,10501,58,4,0
2026-06-07,LinkedIn Ads,InMail Campaign,365.8,21204,173,11,2
2026-06-08,Google Ads,Search - Brand,909.11,22021,941,72,15
2026-06-08,Google Ads,Search - Competitor,805.29,11140,570,45,4
2026-06-08,Google Ads,Display - Retargeting,422.51,6843,291,21,5
2026-06-08,Meta Ads,FB - Lead Gen,475.31,21514,280,5,0
2026-06-08,Meta Ads,IG - Awareness,511.47,14869,156,6,0
2026-06-08,Meta Ads,FB - Retargeting,544.8,16466,240,8,1
2026-06-08,Email,Monthly Newsletter,24.61,3477,334,34,5
2026-06-08,Email,Promo Blast,20.04,2946,280,21,2
2026-06-08,Organic Social,LinkedIn Organic,0.0,15141,390,12,2
2026-06-08,Organic Social,FB Organic,0.0,17456,603,15,2
2026-06-08,LinkedIn Ads,Sponsored Content,419.06,5792,32,2,0
2026-06-08,LinkedIn Ads,InMail Campaign,421.98,17306,147,14,3
2026-06-09,Google Ads,Search - Brand,580.81,11177,341,21,2
2026-06-09,Google Ads,Search - Competitor,386.66,12413,437,39,8
2026-06-09,Google Ads,Display - Retargeting,598.8,20919,955,42,10
2026-06-09,Meta Ads,FB - Lead Gen,529.54,10851,187,5,0
2026-06-09,Meta Ads,IG - Awareness,574.72,22637,293,13,1
2026-06-09,Meta Ads,FB - Retargeting,409.84,12630,188,7,0
2026-06-09,Email,Monthly Newsletter,26.69,2974,339,22,3
2026-06-09,Email,Promo Blast,29.72,3250,313,29,6
2026-06-09,Organic Social,LinkedIn Organic,0.0,17173,446,15,2
2026-06-09,Organic Social,FB Organic,0.0,8489,257,8,1
2026-06-09,LinkedIn Ads,Sponsored Content,521.84,8353,65,2,0
2026-06-09,LinkedIn Ads,InMail Campaign,455.33,11558,85,5,0
2026-06-10,Google Ads,Search - Brand,725.35,10481,521,44,2
2026-06-10,Google Ads,Search - Competitor,480.47,17308,747,49,7
2026-06-10,Google Ads,Display - Retargeting,612.99,14377,798,51,10
2026-06-10,Meta Ads,FB - Lead Gen,418.61,13049,214,9,1
2026-06-10,Meta Ads,IG - Awareness,500.47,23301,492,17,4
2026-06-10,Meta Ads,FB - Retargeting,419.06,6847,98,1,0
2026-06-10,Email,Monthly Newsletter,25.12,3838,490,41,9
2026-06-10,Email,Promo Blast,11.18,3117,431,21,4
2026-06-10,Organic Social,LinkedIn Organic,0.0,13338,450,22,4
2026-06-10,Organic Social,FB Organic,0.0,13162,327,12,1
2026-06-10,LinkedIn Ads,Sponsored Content,458.05,13089,114,6,1
2026-06-10,LinkedIn Ads,InMail Campaign,392.62,13920,89,3,0
2026-06-11,Google Ads,Search - Brand,713.55,11311,597,50,10
2026-06-11,Google Ads,Search - Competitor,881.52,11904,402,11,2
2026-06-11,Google Ads,Display - Retargeting,698.15,14777,702,27,8
2026-06-11,Meta Ads,FB - Lead Gen,481.74,15437,318,14,2
2026-06-11,Meta Ads,IG - Awareness,374.44,16885,418,23,5
